cidade,uf,nome_completo
Abadia de Goiás,GO,Abadia de Goiás - GO
Abadia dos Dourados,MG,Abadia dos Dourados - MG
Abadiânia,GO,Abadiânia - GO
Abaetetuba,PA,Abaetetuba - PA
Abaeté,MG,Abaeté - MG
Abaiara,CE,Abaiara - CE
Abaré,BA,Abaré - BA
Abatiá,PR,Abatiá - PR
Abaíra,BA,Abaíra - BA
Abdon Batista,SC,Abdon Batista - SC
Abel Figueiredo,PA,Abel Figueiredo - PA
Abelardo Luz,SC,Abelardo Luz - SC
Abre Campo,MG,Abre Campo - MG
Abreu e Lima,PE,Abreu e Lima - PE
Abreulândia,TO,Abreulândia - TO
Acaiaca,MG,Acaiaca - MG
Acajutiba,BA,Acajutiba - BA
Acarape,CE,Acarape - CE
Acaraú,CE,Acaraú - CE
Acari,RN,Acari - RN
Acará,PA,Acará - PA
Acauã,PI,Acauã - PI
Aceguá,RS,Aceguá - RS
Acopiara,CE,Acopiara - CE
Acorizal,MT,Acorizal - MT
Acrelândia,AC,Acrelândia - AC
Acreúna,GO,Acreúna - GO
Adamantina,SP,Adamantina - SP
Adelândia,GO,Adelândia - GO
Adolfo,SP,Adolfo - SP
Adrianópolis,PR,Adrianópolis - PR
Adustina,BA,Adustina - BA
Afogados da Ingazeira,PE,Afogados da Ingazeira - PE
Afonso Bezerra,RN,Afonso Bezerra - RN
Afonso Cláudio,ES,Afonso Cláudio - ES
Afonso Cunha,MA,Afonso Cunha - MA
Afrânio,PE,Afrânio - PE
Afuá,PA,Afuá - PA
Agrestina,PE,Agrestina - PE
Agricolândia,PI,Agricolândia - PI
Agrolândia,SC,Agrolândia - SC
Agronômica,SC,Agronômica - SC
Aguanil,MG,Aguanil - MG
Aguaí,SP,Aguaí - SP
Agudo,RS,Agudo - RS
Agudos,SP,Agudos - SP
Agudos do Sul,PR,Agudos do Sul - PR
Aguiar,PB,Aguiar - PB
Aguiarnópolis,TO,Aguiarnópolis - TO
Aimorés,MG,Aimorés - MG
Aiquara,BA,Aiquara - BA
Aiuaba,CE,Aiuaba - CE
Aiuruoca,MG,Aiuruoca - MG
Ajuricaba,RS,Ajuricaba - RS
Alagoa,MG,Alagoa - MG
Alagoa Grande,PB,Alagoa Grande - PB
Alagoa Nova,PB,Alagoa Nova - PB
Alagoinha,PB,Alagoinha - PB
Alagoinha,PE,Alagoinha - PE
Alagoinha do Piauí,PI,Alagoinha do Piauí - PI
Alagoinhas,BA,Alagoinhas - BA
Alambari,SP,Alambari - SP
Albertina,MG,Albertina - MG
Alcantil,PB,Alcantil - PB
Alcinópolis,MS,Alcinópolis - MS
Alcobaça,BA,Alcobaça - BA
Alcântara,MA,Alcântara - MA
Alcântaras,CE,Alcântaras - CE
Aldeias Altas,MA,Aldeias Altas - MA
Alecrim,RS,Alecrim - RS
Alegre,ES,Alegre - ES
Alegrete,RS,Alegrete - RS
Alegrete do Piauí,PI,Alegrete do Piauí - PI
Alegria,RS,Alegria - RS
Alenquer,PA,Alenquer - PA
Alexandria,RN,Alexandria - RN
Alexânia,GO,Alexânia - GO
Alfenas,MG,Alfenas - MG
Alfredo Chaves,ES,Alfredo Chaves - ES
Alfredo Marcondes,SP,Alfredo Marcondes - SP
Alfredo Vasconcelos,MG,Alfredo Vasconcelos - MG
Alfredo Wagner,SC,Alfredo Wagner - SC
Algodão de Jandaíra,PB,Algodão de Jandaíra - PB
Alhandra,PB,Alhandra - PB
Aliança,PE,Aliança - PE
Aliança do Tocantins,TO,Aliança do Tocantins - TO
Almadina,BA,Almadina - BA
Almas,TO,Almas - TO
Almeirim,PA,Almeirim - PA
Almenara,MG,Almenara - MG
Almino Afonso,RN,Almino Afonso - RN
Almirante Tamandaré,PR,Almirante Tamandaré - PR
Almirante Tamandaré do Sul,RS,Almirante Tamandaré do Sul - RS
Aloândia,GO,Aloândia - GO
Alpercata,MG,Alpercata - MG
Alpestre,RS,Alpestre - RS
Alpinópolis,MG,Alpinópolis - MG
Alta Floresta,MT,Alta Floresta - MT
Alta Floresta D'Oeste,RO,Alta Floresta D'Oeste - RO
Altair,SP,Altair - SP
Altamira,PA,Altamira - PA
Altamira do Maranhão,MA,Altamira do Maranhão - MA
Altamira do Paraná,PR,Altamira do Paraná - PR
Altaneira,CE,Altaneira - CE
Alterosa,MG,Alterosa - MG
Altinho,PE,Altinho - PE
Altinópolis,SP,Altinópolis - SP
Alto Alegre,RR,Alto Alegre - RR
Alto Alegre,RS,Alto Alegre - RS
Alto Alegre,SP,Alto Alegre - SP
Alto Alegre do Maranhão,MA,Alto Alegre do Maranhão - MA
Alto Alegre do Pindaré,MA,Alto Alegre do Pindaré - MA
Alto Alegre dos Parecis,RO,Alto Alegre dos Parecis - RO
Alto Araguaia,MT,Alto Araguaia - MT
Alto Bela Vista,SC,Alto Bela Vista - SC
Alto Boa Vista,MT,Alto Boa Vista - MT
Alto Caparaó,MG,Alto Caparaó - MG
Alto do Rodrigues,RN,Alto do Rodrigues - RN
Alto Feliz,RS,Alto Feliz - RS
Alto Garças,MT,Alto Garças - MT
Alto Horizonte,GO,Alto Horizonte - GO
Alto Jequitibá,MG,Alto Jequitibá - MG
Alto Longá,PI,Alto Longá - PI
Alto Paraguai,MT,Alto Paraguai - MT
Alto Paraná,PR,Alto Paraná - PR
Alto Paraíso,PR,Alto Paraíso - PR
Alto Paraíso,RO,Alto Paraíso - RO
Alto Paraíso de Goiás,GO,Alto Paraíso de Goiás - GO
Alto Parnaíba,MA,Alto Parnaíba - MA
Alto Piquiri,PR,Alto Piquiri - PR
Alto Rio Doce,MG,Alto Rio Doce - MG
Alto Rio Novo,ES,Alto Rio Novo - ES
Alto Santo,CE,Alto Santo - CE
Alto Taquari,MT,Alto Taquari - MT
Altos,PI,Altos - PI
Altônia,PR,Altônia - PR
Alumínio,SP,Alumínio - SP
Alvarenga,MG,Alvarenga - MG
Alvarães,AM,Alvarães - AM
Alvinlândia,SP,Alvinlândia - SP
Alvinópolis,MG,Alvinópolis - MG
Alvorada,RS,Alvorada - RS
Alvorada,TO,Alvorada - TO
Alvorada D'Oeste,RO,Alvorada D'Oeste - RO
Alvorada de Minas,MG,Alvorada de Minas - MG
Alvorada do Gurguéia,PI,Alvorada do Gurguéia - PI
Alvorada do Norte,GO,Alvorada do Norte - GO
Alvorada do Sul,PR,Alvorada do Sul - PR
Além Paraíba,MG,Além Paraíba - MG
Amajari,RR,Amajari - RR
Amambai,MS,Amambai - MS
Amaporã,PR,Amaporã - PR
Amapá,AP,Amapá - AP
Amapá do Maranhão,MA,Amapá do Maranhão - MA
Amaraji,PE,Amaraji - PE
Amaral Ferrador,RS,Amaral Ferrador - RS
Amaralina,GO,Amaralina - GO
Amarante,PI,Amarante - PI
Amarante do Maranhão,MA,Amarante do Maranhão - MA
Amargosa,BA,Amargosa - BA
Amaturá,AM,Amaturá - AM
Americana,SP,Americana - SP
Americano do Brasil,GO,Americano do Brasil - GO
Ametista do Sul,RS,Ametista do Sul - RS
Amontada,CE,Amontada - CE
Amorinópolis,GO,Amorinópolis - GO
Amparo,PB,Amparo - PB
Amparo,SP,Amparo - SP
Amparo do Serra,MG,Amparo do Serra - MG
Amparo do São Francisco,SE,Amparo do São Francisco - SE
Ampére,PR,Ampére - PR
Amélia Rodrigues,BA,Amélia Rodrigues - BA
América Dourada,BA,América Dourada - BA
Américo Brasiliense,SP,Américo Brasiliense - SP
Américo de Campos,SP,Américo de Campos - SP
Anadia,AL,Anadia - AL
Anagé,BA,Anagé - BA
Anahy,PR,Anahy - PR
Anajatuba,MA,Anajatuba - MA
Anajás,PA,Anajás - PA
Analândia,SP,Analândia - SP
Anamã,AM,Anamã - AM
Ananindeua,PA,Ananindeua - PA
Ananás,TO,Ananás - TO
Anapu,PA,Anapu - PA
Anapurus,MA,Anapurus - MA
Anastácio,MS,Anastácio - MS
Anaurilândia,MS,Anaurilândia - MS
Anchieta,ES,Anchieta - ES
Anchieta,SC,Anchieta - SC
Andaraí,BA,Andaraí - BA
Andirá,PR,Andirá - PR
Andorinha,BA,Andorinha - BA
Andradas,MG,Andradas - MG
Andradina,SP,Andradina - SP
Andrelândia,MG,Andrelândia - MG
André da Rocha,RS,André da Rocha - RS
Angatuba,SP,Angatuba - SP
Angelim,PE,Angelim - PE
Angelina,SC,Angelina - SC
Angelândia,MG,Angelândia - MG
Angical,BA,Angical - BA
Angical do Piauí,PI,Angical do Piauí - PI
