tipo_servico,equipamento,n,soma,soma_quad,media,desvio
assistência,,4,44.833333,506.375,11.2083,1.1355
borracharia,BAU OFICINA,12,12.283333,13.906944,1.0236,0.3482
borracharia,BAZUCA TRANSPORTE DE ADUBO,2,3.55,6.324722,1.775,0.1532
borracharia,CACAMBA HIDRAULICA,2,4.916667,12.256944,2.4583,0.4125
borracharia,CAMINHAO VM270 4X2R,1,1.833333,3.361111,1.8333,0.0
borracharia,CANTERIZADOR DMB,1,0.65,0.4225,0.65,0.0
borracharia,CANTERIZADOR PROTOTIPO,1,2.583333,6.673611,2.5833,0.0
borracharia,CARRETA PRANCHA,7,11.5,23.27,1.6429,0.8541
borracharia,COLHEDORA AGNES 367K,4,10.05,27.976389,2.5125,0.9532
borracharia,COLHEDORA CANA INTEIRA,6,18.35,60.911389,3.0583,0.9789
borracharia,EMPILHADEIRA (ESTOQUE),1,2.3,5.29,2.3,0.0
borracharia,EMPILHADEIRA (SERTAOZINHO),3,4.566667,6.957222,1.5222,0.0536
borracharia,EMPILHADEIRA HYSTER,2,3.933333,8.340556,1.9667,0.7778
borracharia,GIGANTE TRACTOR,39,51.733333,95.373889,1.3265,0.839
borracharia,GRADE INTERMEDIARIA 32X28,1,1.283333,1.646944,1.2833,0.0
borracharia,MOTOR ESTACIONARIO MOTOBOMBA,1,0.966667,0.934444,0.9667,0.0
borracharia,ONIBUS FRENTE AGRO VALE,1,2.433333,5.921111,2.4333,0.0
borracharia,ONIBUS VM/MPOLO TRANSPORTE FUNCIONARIOS,1,1.033333,1.067778,1.0333,0.0
borracharia,ONIBUS VOLVO,1,2.283333,5.213611,2.2833,0.0
borracharia,PA CARREGADEIRA 920K,1,3.583333,12.840278,3.5833,0.0
borracharia,PLANTADEIRA USA JHON DEERE 13 LINHAS PT1,1,1.45,2.1025,1.45,0.0
borracharia,PLANTADEIRA USADA JHON DEERE 13 LINHAS PT1,1,1.466667,2.151111,1.4667,0.0
borracharia,PULVERIZADOR ORION 250,2,4.783333,15.130278,2.3917,1.921
borracharia,PULVERIZADOR PLA 125J,1,1.5,2.25,1.5,0.0
borracharia,TANQUE PIPA,1,1.316667,1.733611,1.3167,0.0
borracharia,TRANBORDO EMPRESTADO METALCANA,1,0.383333,0.146944,0.3833,0.0
borracharia,TRANSBORDO GIGANTE,103,144.95,277.249722,1.4073,0.8475
borracharia,TRATOR FENDY 936 GEN7 FENDT,1,3.366667,11.334444,3.3667,0.0
borracharia,TRATOR NEW HOLLAND T7.245,107,250.633333,758.252222,2.3424,1.2708
borracharia,TRATOR NEW HOLLAND TL5.100,1,1.016667,1.033611,1.0167,0.0
borracharia,TRATOR NEW HOLLAND TL95E,2,3.566667,6.387778,1.7833,0.165
borracharia,UNO,1,0.65,0.4225,0.65,0.0
borracharia,VOLVO VM 330,31,48.066667,93.322778,1.5505,0.7915
borracharia,,431,878.033333,2856.244444,2.0372,1.5756
carga/descarga,CACAMBA HIDRAULICA,1,2.583333,6.673611,2.5833,0.0
carga/descarga,CANTERIZADOR PROTOTIPO,4,4.216667,5.383611,1.0542,0.5593
carga/descarga,CARRETA DE MUDA DMB,1,1.383333,1.913611,1.3833,0.0
carga/descarga,COLHEDORA AGNES 367K,4,11.916667,40.3125,2.9792,1.2663
carga/descarga,COLHEDORA CANA INTEIRA,6,11.333333,35.155556,1.8889,1.6582
carga/descarga,COLHEDORA JOHN DEERE 3520,2,10.083333,61.340278,5.0417,3.2409
carga/descarga,COLHEDORA JOHN DEERE 3522,1,1.133333,1.284444,1.1333,0.0
carga/descarga,COLHEDORA JOHN DEERE CH570,4,5.2,8.743333,1.3,0.8131
carga/descarga,COLHEDORA JOHN DEERE CH670,4,9.766667,33.654444,2.4417,1.8081
carga/descarga,COLHEDORA JOHN DEERE CH671,4,12.283333,50.323611,3.0708,2.0497
carga/descarga,CULTIVADOR DMB 03 HASTE C/ADUB DESILERADOR,2,3.0,4.555556,1.5,0.2357
carga/descarga,DISTRIBUIDOR DE CALCARIO,1,1.0,1.0,1.0,0.0
carga/descarga,EMPILHADEIRA (SERTAOZINHO),1,1.166667,1.361111,1.1667,0.0
carga/descarga,GIGANTE TRACTOR,16,30.183333,81.316944,1.8865,1.2748
carga/descarga,GRADE NIVELADORA CONTROLE REMOTO 56 DISCOS,1,0.666667,0.444444,0.6667,0.0
carga/descarga,KOMBI,2,10.75,90.451389,5.375,5.7158
carga/descarga,NIVELADORA DE ARRASTO 96 DISCOS PICCINI,2,2.616667,3.463611,1.3083,0.2003
carga/descarga,S10,1,2.5,6.25,2.5,0.0
carga/descarga,STRADA,3,6.833333,16.680556,2.2778,0.7469
carga/descarga,SUBSOLADOR CANAVIEIRO CIVEMASA,2,8.5,41.138889,4.25,2.2392
carga/descarga,TRATOR FENDY 936 GEN7 FENDT,1,2.0,4.0,2.0,0.0
carga/descarga,TRATOR NEW HOLLAND T7.245,8,19.45,59.031389,2.4312,1.2952
carga/descarga,TRATOR NEW HOLLAND TL95E,1,1.75,3.0625,1.75,0.0
carga/descarga,VOLVO VM 330,5,13.083333,37.676944,2.6167,0.9277
carga/descarga,,540,1219.233333,4045.638889,2.2578,1.5487
elétrica,BAU OFICINA,2,2.75,3.8125,1.375,0.1768
elétrica,CAMINHAO VM270 4X2R,3,14.5,88.847222,4.8333,3.063
elétrica,CAMINHAO VOLVO 330 6X4R,1,0.8,0.64,0.8,0.0
elétrica,CANTERIZADOR METALCANA PROTOTIPO,2,8.416667,35.590278,4.2083,0.4125
elétrica,COLHEDORA AGNES 367K,167,1112.15,9661.916389,6.6596,3.6861
elétrica,COLHEDORA CANA INTEIRA,45,254.916667,1667.423611,5.6648,2.2531
elétrica,COLHEDORA JOHN DEERE 3520,60,332.616667,2623.593056,5.5436,3.6353
elétrica,COLHEDORA JOHN DEERE CH570,74,486.866667,4295.276111,6.5793,3.8678
elétrica,COLHEDORA JOHN DEERE CH670,7,47.833333,348.111111,6.8333,1.8819
elétrica,COLHEDORA JOHN DEERE CH671,1,1.916667,3.673611,1.9167,0.0
elétrica,EMPILHADEIRA (ESTOQUE),2,19.666667,196.944444,9.8333,1.8856
elétrica,EMPILHADEIRA BAOLI (TESTON),2,5.5,17.847222,2.75,1.6499
